variant_id,title_long,product_type,handle,color,store_name
12209,Bavincis The Bond Gold And Aqua Green Edition sunglasses,sunglasses,bavincis-the-bond-gold-and-aqua-green-edition-sunglasses,gold - green,Store_E
12210,Bavincis The Bond Gold And Black Edition Sunglasses,sunglasses,bavincis-the-bond-gold-and-black-edition-sunglasses,gold - black,Store_E
12211,Bavincis The Bond Gold And Green Edition Sunglasses,sunglasses,bavincis-the-bond-gold-and-green-edition-sunglasses,gold - green,Store_E
12212,Bavincis The Bond Silver And Black Edition Sunglasses,sunglasses,bavincis-the-bond-matt-black-and-black-edition-sunglasses,silver - black,Store_E
12213,Bavincis The Bond Silver And Black Edition Sunglasses,sunglasses,bavincis-the-bond-silver-and-black-blue-edition-sunglasses,silver - black,Store_E
12214,Bavincis Thunder Black And Black Edition Sunglasses,sunglasses,bavincis-thunder-black-and-black-edition-sunglasses,black - black,Store_E
12215,Bavincis Tommy Black And Black Edition Sunglasses,sunglasses,bavincis-tommy-black-and-gray-gradient-edition-sunglasses,black - black,Store_E
12216,Bavincis Tommy Black And Blue Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-blue-gradient-edition-sunglasses,black - blue,Store_E
12217,Bavincis Tommy Black And Brown Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-brown-gradient-edition-sunglasses,black - brown,Store_E
12218,Bavincis Tommy Black And Gray Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-blue-gradient-edition-sunglasses-1,black - gray,Store_E
12219,Bavincis Tommy Black And Green Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-green-gradient-edition-sunglasses,black - green,Store_E
12220,Bavincis Tommy Black And Green Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-green-gradient-edition-sunglasses-1,black - green,Store_E
12221,Bavincis Tommy Gold And Blue Gradient Edition Sunglasses,sunglasses,bavincis-tommy-gold-and-blue-gradient-edition-sunglasses,gold - blue,Store_E
12222,Bavincis Tommy Gold And Gray Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-blue-gradient-edition-sunglasses-2,gold - gray,Store_E
12223,Bavincis Tommy Gold And Green Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-blue-gradient-edition-sunglasses-4,gold - green,Store_E
12224,Bavincis Tommy Silver And Black Edition Sunglasses,sunglasses,bavincis-tommy-black-and-blue-gradient-edition-sunglasses-3,silver - black,Store_E
12225,Bavincis Tommy Silver And Gray Gradient Edition Sunglasses,sunglasses,bavincis-tommy-black-and-gray-gradient-edition-sunglasses-1,silver - gray,Store_E
